date,platform,impressions,reach,engagements,likes,comments,shares,clicks
2024-05-01,Instagram,12000,8000,900,585,135,180,270
2024-05-01,Facebook,9000,6500,600,390,90,120,180
2024-05-01,Twitter,6000,4800,450,292,67,90,135
2024-05-01,LinkedIn,4200,3600,340,221,51,68,102
2024-06-01,Instagram,14500,10000,1120,728,168,224,336
2024-06-01,Facebook,11500,8500,820,533,123,164,246
2024-06-01,Twitter,8500,6800,670,435,100,134,201
2024-06-01,LinkedIn,6700,5600,560,364,84,112,168
2024-07-01,Instagram,17000,12000,1340,871,201,268,402
2024-07-01,Facebook,14000,10500,1040,676,156,208,312
2024-07-01,Twitter,11000,8800,890,578,133,178,267
2024-07-01,LinkedIn,9200,7600,780,507,117,156,234
2024-08-01,Instagram,19500,14000,1560,1014,234,312,468
2024-08-01,Facebook,16500,12500,1260,819,189,252,378
2024-08-01,Twitter,13500,10800,1110,721,166,222,333
2024-08-01,LinkedIn,11700,9600,1000,650,150,200,300
2024-09-01,Instagram,22000,16000,1780,1157,267,356,534
2024-09-01,Facebook,19000,14500,1480,962,222,296,444
2024-09-01,Twitter,16000,12800,1330,864,199,266,399
2024-09-01,LinkedIn,14200,11600,1220,793,183,244,366
2024-10-01,Instagram,24500,18000,2000,1300,300,400,600
2024-10-01,Facebook,21500,16500,1700,1105,255,340,510
2024-10-01,Twitter,18500,14800,1550,1007,232,310,465
2024-10-01,LinkedIn,16700,13600,1440,936,216,288,432
2024-11-01,Instagram,27000,20000,2220,1443,333,444,666
2024-11-01,Facebook,24000,18500,1920,1248,288,384,576
2024-11-01,Twitter,21000,16800,1770,1150,265,354,531
2024-11-01,LinkedIn,19200,15600,1660,1079,249,332,498
2024-12-01,Instagram,29500,22000,2440,1586,366,488,732
2024-12-01,Facebook,26500,20500,2140,1391,321,428,642
2024-12-01,Twitter,23500,18800,1990,1293,298,398,597
2024-12-01,LinkedIn,21700,17600,1880,1222,282,376,564
2025-01-01,Instagram,32000,24000,2660,1729,399,532,798
2025-01-01,Facebook,29000,22500,2360,1534,354,472,708
2025-01-01,Twitter,26000,20800,2210,1436,331,442,663
2025-01-01,LinkedIn,24200,19600,2100,1365,315,420,630
2025-02-01,Instagram,34500,26000,2880,1872,432,576,864
2025-02-01,Facebook,31500,24500,2580,1677,387,516,774
2025-02-01,Twitter,28500,22800,2430,1579,364,486,729
2025-02-01,LinkedIn,26700,21600,2320,1508,348,464,696
2025-03-01,Instagram,37000,28000,3100,2015,465,620,930
2025-03-01,Facebook,34000,26500,2800,1820,420,560,840
2025-03-01,Twitter,31000,24800,2650,1722,397,530,795
2025-03-01,LinkedIn,29200,23600,2540,1651,381,508,762
2025-04-01,Instagram,39500,30000,3320,2158,498,664,996
2025-04-01,Facebook,36500,28500,3020,1963,453,604,906
2025-04-01,Twitter,33500,26800,2870,1865,430,574,861
2025-04-01,LinkedIn,31700,25600,2760,1794,414,552,828
