month,platform,followers
2024-05,Instagram,12000
2024-05,Facebook,9800
2024-05,Twitter,7600
2024-05,LinkedIn,6200
2024-06,Instagram,13500
2024-06,Facebook,10700
2024-06,Twitter,8500
2024-06,LinkedIn,7100
2024-07,Instagram,15000
2024-07,Facebook,11600
2024-07,Twitter,9400
2024-07,LinkedIn,8000
2024-08,Instagram,16500
2024-08,Facebook,12500
2024-08,Twitter,10300
2024-08,LinkedIn,8900
2024-09,Instagram,18000
2024-09,Facebook,13400
2024-09,Twitter,11200
2024-09,LinkedIn,9800
2024-10,Instagram,19500
2024-10,Facebook,14300
2024-10,Twitter,12100
2024-10,LinkedIn,10700
2024-11,Instagram,21000
2024-11,Facebook,15200
2024-11,Twitter,13000
2024-11,LinkedIn,11600
2024-12,Instagram,22500
2024-12,Facebook,16100
2024-12,Twitter,13900
2024-12,LinkedIn,12500
2025-01,Instagram,24000
2025-01,Facebook,17000
2025-01,Twitter,14800
2025-01,LinkedIn,13400
2025-02,Instagram,25500
2025-02,Facebook,17900
2025-02,Twitter,15700
2025-02,LinkedIn,14300
2025-03,Instagram,27000
2025-03,Facebook,18800
2025-03,Twitter,16600
2025-03,LinkedIn,15200
2025-04,Instagram,28500
2025-04,Facebook,19700
2025-04,Twitter,17500
2025-04,LinkedIn,16100
